County,Population,OnSale_Ratio,OffSale_Ratio,CTract,Map tracts,Ctract_Pop,OnSale_actual,OffSale_actual,OnSale_auth,OffSale_auth,OnSale_over (auth-act),Offsale_over
SAN FRANCISCO,"845,602",275,"1,060",101.00,10100,"3,739",13,3,14,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",102.00,10200,"4,143",15,3,15,4,0,1
SAN FRANCISCO,"845,602",275,"1,060",103.00,10300,"3,852",14,3,14,4,0,1
SAN FRANCISCO,"845,602",275,"1,060",104.00,10400,"4,545",16,4,17,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",105.00,10500,"2,685",9,2,10,3,1,1
SAN FRANCISCO,"845,602",275,"1,060",106.00,10600,"3,894",14,3,14,4,0,1
SAN FRANCISCO,"845,602",275,"1,060",107.00,10700,"5,592",20,5,20,5,0,0
SAN FRANCISCO,"845,602",275,"1,060",108.00,10800,"4,578",16,4,17,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",109.00,10900,"4,320",15,4,16,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",110.00,11000,"4,827",17,4,18,5,1,1
SAN FRANCISCO,"845,602",275,"1,060",111.00,11100,"5,164",18,4,19,5,1,1
SAN FRANCISCO,"845,602",275,"1,060",112.00,11200,"3,286",11,3,12,3,1,0
SAN FRANCISCO,"845,602",275,"1,060",113.00,11300,"3,143",11,2,11,3,0,1
SAN FRANCISCO,"845,602",275,"1,060",117.00,11700,"1,783",6,1,6,2,0,1
SAN FRANCISCO,"845,602",275,"1,060",118.00,11800,"1,500",5,1,5,1,0,0
SAN FRANCISCO,"845,602",275,"1,060",119.01,11901,"2,408",8,2,9,2,1,0
SAN FRANCISCO,"845,602",275,"1,060",119.02,11902,"2,598",9,2,9,2,0,0
SAN FRANCISCO,"845,602",275,"1,060",120.00,12000,"3,833",13,3,14,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",121.00,12100,"3,833",13,3,14,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",122.01,12201,"4,567",16,4,17,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",122.02,12202,"2,986",10,2,11,3,1,1
SAN FRANCISCO,"845,602",275,"1,060",123.01,12301,"2,734",9,2,10,3,1,1
SAN FRANCISCO,"845,602",275,"1,060",123.02,12302,"3,073",11,2,11,3,0,1
SAN FRANCISCO,"845,602",275,"1,060",124.01,12401,"5,075",18,4,18,5,0,1
SAN FRANCISCO,"845,602",275,"1,060",124.02,12402,"3,974",14,3,14,4,0,1
SAN FRANCISCO,"845,602",275,"1,060",125.01,12501,"5,335",19,5,19,5,0,0
SAN FRANCISCO,"845,602",275,"1,060",125.02,12502,"3,821",13,3,14,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",126.01,12601,"2,329",8,2,8,2,0,0
SAN FRANCISCO,"845,602",275,"1,060",126.02,12602,"2,909",10,2,11,3,1,1
SAN FRANCISCO,"845,602",275,"1,060",127.00,12700,"3,492",12,3,13,3,1,0
SAN FRANCISCO,"845,602",275,"1,060",128.00,12800,"4,106",14,3,15,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",129.01,12901,"2,557",9,2,9,2,0,0
SAN FRANCISCO,"845,602",275,"1,060",129.02,12902,"3,376",12,3,12,3,0,0
SAN FRANCISCO,"845,602",275,"1,060",130.00,13000,"4,044",14,3,15,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",131.01,13101,"3,811",13,3,14,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",131.02,13102,"2,625",9,2,10,2,1,0
SAN FRANCISCO,"845,602",275,"1,060",132.00,13200,"4,162",15,3,15,4,0,1
SAN FRANCISCO,"845,602",275,"1,060",133.00,13300,"4,232",15,3,15,4,0,1
SAN FRANCISCO,"845,602",275,"1,060",134.00,13400,"3,599",13,3,13,3,0,0
SAN FRANCISCO,"845,602",275,"1,060",135.00,13500,"2,556",9,2,9,2,0,0
SAN FRANCISCO,"845,602",275,"1,060",151.00,15100,"2,493",9,2,9,2,0,0
SAN FRANCISCO,"845,602",275,"1,060",152.00,15200,"3,934",14,3,14,4,0,1
SAN FRANCISCO,"845,602",275,"1,060",153.00,15300,"2,040",7,1,7,2,0,1
SAN FRANCISCO,"845,602",275,"1,060",154.00,15400,"5,621",20,5,20,5,0,0
SAN FRANCISCO,"845,602",275,"1,060",155.00,15500,"3,622",13,3,13,3,0,0
SAN FRANCISCO,"845,602",275,"1,060",156.00,15600,"2,728",9,2,10,3,1,1
SAN FRANCISCO,"845,602",275,"1,060",157.00,15700,"7,832",28,7,28,7,0,0
SAN FRANCISCO,"845,602",275,"1,060",158.01,15801,"3,594",13,3,13,3,0,0
SAN FRANCISCO,"845,602",275,"1,060",158.02,15802,"2,965",10,2,11,3,1,1
SAN FRANCISCO,"845,602",275,"1,060",159.00,15900,"4,350",15,4,16,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",160.00,16000,"2,465",8,2,9,2,1,0
SAN FRANCISCO,"845,602",275,"1,060",161.00,16100,"5,366",19,5,20,5,1,0
SAN FRANCISCO,"845,602",275,"1,060",162.00,16200,"2,541",9,2,9,2,0,0
SAN FRANCISCO,"845,602",275,"1,060",163.00,16300,"4,293",15,4,16,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",164.00,16400,"3,778",13,3,14,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",165.00,16500,"5,083",18,4,18,5,0,1
SAN FRANCISCO,"845,602",275,"1,060",166.00,16600,"5,069",18,4,18,5,0,1
SAN FRANCISCO,"845,602",275,"1,060",167.00,16700,"4,652",16,4,17,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",168.01,16801,"3,218",11,3,12,3,1,0
SAN FRANCISCO,"845,602",275,"1,060",168.02,16802,"3,264",11,3,12,3,1,0
SAN FRANCISCO,"845,602",275,"1,060",169.00,16900,"2,924",10,2,11,3,1,1
SAN FRANCISCO,"845,602",275,"1,060",170.00,17000,"3,689",13,3,13,3,0,0
SAN FRANCISCO,"845,602",275,"1,060",171.01,17101,"3,544",12,3,13,3,1,0
SAN FRANCISCO,"845,602",275,"1,060",171.02,17102,"3,451",12,3,13,3,1,0
SAN FRANCISCO,"845,602",275,"1,060",176.01,17601,"7,630",27,7,28,7,1,0
SAN FRANCISCO,"845,602",275,"1,060",177.00,17700,"2,128",7,2,8,2,1,0
SAN FRANCISCO,"845,602",275,"1,060",178.01,17801,"3,499",12,3,13,3,1,0
SAN FRANCISCO,"845,602",275,"1,060",178.02,17802,"4,516",16,4,16,4,0,0
SAN FRANCISCO,"845,602",275,"1,060",179.02,17902,"2,880",10,2,10,3,0,1
SAN FRANCISCO,"845,602",275,"1,060",180.00,18000,"4,221",15,3,15,4,0,1
SAN FRANCISCO,"845,602",275,"1,060",201.00,20100,"6,172",22,5,22,6,0,1
SAN FRANCISCO,"845,602",275,"1,060",202.00,20200,"6,269",22,5,23,6,1,1
SAN FRANCISCO,"845,602",275,"1,060",203.00,20300,"3,034",11,2,11,3,0,1
SAN FRANCISCO,"845,602",275,"1,060",204.01,20401,"2,846",10,2,10,3,0,1
SAN FRANCISCO,"845,602",275,"1,060",204.02,20402,"3,997",14,3,15,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",205.00,20500,"2,583",9,2,9,2,0,0
SAN FRANCISCO,"845,602",275,"1,060",206.00,20600,"4,711",17,4,17,4,0,0
SAN FRANCISCO,"845,602",275,"1,060",207.00,20700,"5,171",18,4,19,5,1,1
SAN FRANCISCO,"845,602",275,"1,060",208.00,20800,"6,577",23,6,24,6,1,0
SAN FRANCISCO,"845,602",275,"1,060",209.00,20900,"4,372",15,4,16,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",210.00,21000,"4,196",15,3,15,4,0,1
SAN FRANCISCO,"845,602",275,"1,060",211.00,21100,"3,853",14,3,14,4,0,1
SAN FRANCISCO,"845,602",275,"1,060",212.00,21200,"2,779",10,2,10,3,0,1
SAN FRANCISCO,"845,602",275,"1,060",213.00,21300,"2,474",8,2,9,2,1,0
SAN FRANCISCO,"845,602",275,"1,060",214.00,21400,"3,264",11,3,12,3,1,0
SAN FRANCISCO,"845,602",275,"1,060",215.00,21500,"5,096",18,4,19,5,1,1
SAN FRANCISCO,"845,602",275,"1,060",216.00,21600,"3,836",13,3,14,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",217.00,21700,"3,948",14,3,14,4,0,1
SAN FRANCISCO,"845,602",275,"1,060",218.00,21800,"3,840",13,3,14,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",226.00,22600,"1,534",5,1,6,1,1,0
SAN FRANCISCO,"845,602",275,"1,060",227.02,22702,"2,060",7,1,7,2,0,1
SAN FRANCISCO,"845,602",275,"1,060",227.04,22704,"3,122",11,2,11,3,0,1
SAN FRANCISCO,"845,602",275,"1,060",228.01,22801,"5,078",18,4,18,5,0,1
SAN FRANCISCO,"845,602",275,"1,060",228.02,22802,"2,099",7,1,8,2,1,1
SAN FRANCISCO,"845,602",275,"1,060",228.03,22803,"4,595",16,4,17,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",229.01,22901,"4,640",16,4,17,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",229.02,22902,"2,617",9,2,10,2,1,0
SAN FRANCISCO,"845,602",275,"1,060",229.03,22903,"3,384",12,3,12,3,0,0
SAN FRANCISCO,"845,602",275,"1,060",230.01,23001,"5,216",18,4,19,5,1,1
SAN FRANCISCO,"845,602",275,"1,060",230.03,23003,"4,093",14,3,15,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",231.02,23102,"3,478",12,3,13,3,1,0
SAN FRANCISCO,"845,602",275,"1,060",231.03,23103,"3,725",13,3,14,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",232.00,23200,"4,582",16,4,17,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",233.00,23300,"2,624",9,2,10,2,1,0
SAN FRANCISCO,"845,602",275,"1,060",234.00,23400,"3,660",13,3,13,3,0,0
SAN FRANCISCO,"845,602",275,"1,060",251.00,25100,"3,077",11,2,11,3,0,1
SAN FRANCISCO,"845,602",275,"1,060",252.00,25200,"5,369",19,5,20,5,1,0
SAN FRANCISCO,"845,602",275,"1,060",253.00,25300,"4,362",15,4,16,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",254.01,25401,"3,404",12,3,12,3,0,0
SAN FRANCISCO,"845,602",275,"1,060",254.02,25402,"2,912",10,2,11,3,1,1
SAN FRANCISCO,"845,602",275,"1,060",254.03,25403,"4,267",15,4,16,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",255.00,25500,"8,471",30,7,31,8,1,1
SAN FRANCISCO,"845,602",275,"1,060",256.00,25600,"5,618",20,5,20,5,0,0
SAN FRANCISCO,"845,602",275,"1,060",257.01,25701,"4,788",17,4,17,5,0,1
SAN FRANCISCO,"845,602",275,"1,060",257.02,25702,"4,665",16,4,17,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",258.00,25800,"1,960",7,1,7,2,0,1
SAN FRANCISCO,"845,602",275,"1,060",259.00,25900,"4,261",15,4,15,4,0,0
SAN FRANCISCO,"845,602",275,"1,060",260.01,26001,"5,863",21,5,21,6,0,1
SAN FRANCISCO,"845,602",275,"1,060",260.02,26002,"3,544",12,3,13,3,1,0
SAN FRANCISCO,"845,602",275,"1,060",260.03,26003,"4,908",17,4,18,5,1,1
SAN FRANCISCO,"845,602",275,"1,060",260.04,26004,"4,315",15,4,16,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",261.00,26100,"6,810",24,6,25,6,1,0
SAN FRANCISCO,"845,602",275,"1,060",262.00,26200,"7,564",27,7,28,7,1,0
SAN FRANCISCO,"845,602",275,"1,060",263.01,26301,"4,875",17,4,18,5,1,1
SAN FRANCISCO,"845,602",275,"1,060",263.02,26302,"4,992",18,4,18,5,0,1
SAN FRANCISCO,"845,602",275,"1,060",263.03,26303,"4,551",16,4,17,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",264.01,26401,"4,044",14,3,15,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",264.02,26402,"4,118",14,3,15,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",264.03,26403,"4,140",15,3,15,4,0,1
SAN FRANCISCO,"845,602",275,"1,060",264.04,26404,"2,851",10,2,10,3,0,1
SAN FRANCISCO,"845,602",275,"1,060",301.01,30101,"4,233",15,3,15,4,0,1
SAN FRANCISCO,"845,602",275,"1,060",301.02,30102,"4,838",17,4,18,5,1,1
SAN FRANCISCO,"845,602",275,"1,060",302.01,30201,"3,928",14,3,14,4,0,1
SAN FRANCISCO,"845,602",275,"1,060",302.02,30202,"4,313",15,4,16,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",303.01,30301,"5,658",20,5,21,5,1,0
SAN FRANCISCO,"845,602",275,"1,060",303.02,30302,"3,549",12,3,13,3,1,0
SAN FRANCISCO,"845,602",275,"1,060",304.00,30400,"5,106",18,4,19,5,1,1
SAN FRANCISCO,"845,602",275,"1,060",305.00,30500,"3,046",11,2,11,3,0,1
SAN FRANCISCO,"845,602",275,"1,060",306.00,30600,"2,221",8,2,8,2,0,0
SAN FRANCISCO,"845,602",275,"1,060",307.00,30700,"6,343",23,5,23,6,0,1
SAN FRANCISCO,"845,602",275,"1,060",308.00,30800,"5,667",20,5,21,5,1,0
SAN FRANCISCO,"845,602",275,"1,060",309.00,30900,"6,581",23,6,24,6,1,0
SAN FRANCISCO,"845,602",275,"1,060",310.00,31000,"3,494",12,3,13,3,1,0
SAN FRANCISCO,"845,602",275,"1,060",311.00,31100,"6,193",22,5,23,6,1,1
SAN FRANCISCO,"845,602",275,"1,060",312.01,31201,"6,167",22,5,22,6,0,1
SAN FRANCISCO,"845,602",275,"1,060",312.02,31202,"3,137",11,2,11,3,0,1
SAN FRANCISCO,"845,602",275,"1,060",313.01,31301,"3,826",13,3,14,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",313.02,31302,"5,495",19,5,20,5,1,0
SAN FRANCISCO,"845,602",275,"1,060",314.00,31400,"6,676",24,6,24,6,0,0
SAN FRANCISCO,"845,602",275,"1,060",326.01,32601,"4,416",16,4,16,4,0,0
SAN FRANCISCO,"845,602",275,"1,060",326.02,32602,"4,316",15,4,16,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",327.00,32700,"6,572",23,6,24,6,1,0
SAN FRANCISCO,"845,602",275,"1,060",328.01,32801,"4,238",15,3,15,4,0,1
SAN FRANCISCO,"845,602",275,"1,060",328.02,32802,"4,047",14,3,15,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",329.01,32901,"5,021",18,4,18,5,0,1
SAN FRANCISCO,"845,602",275,"1,060",329.02,32902,"3,831",13,3,14,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",330.00,33000,"7,764",28,7,28,7,0,0
SAN FRANCISCO,"845,602",275,"1,060",331.00,33100,"3,968",14,3,14,4,0,1
SAN FRANCISCO,"845,602",275,"1,060",332.01,33201,"3,683",13,3,13,3,0,0
SAN FRANCISCO,"845,602",275,"1,060",332.03,33203,"3,472",12,3,13,3,1,0
SAN FRANCISCO,"845,602",275,"1,060",332.04,33204,"3,821",13,3,14,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",351.00,35100,"7,842",28,7,29,7,1,0
SAN FRANCISCO,"845,602",275,"1,060",352.01,35201,"5,300",19,5,19,5,0,0
SAN FRANCISCO,"845,602",275,"1,060",352.02,35202,"4,322",15,4,16,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",353.00,35300,"7,226",26,6,26,7,0,1
SAN FRANCISCO,"845,602",275,"1,060",354.00,35400,"6,691",24,6,24,6,0,0
SAN FRANCISCO,"845,602",275,"1,060",401.00,40100,"4,088",14,3,15,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",402.00,40200,"5,191",18,4,19,5,1,1
SAN FRANCISCO,"845,602",275,"1,060",426.01,42601,"3,687",13,3,13,3,0,0
SAN FRANCISCO,"845,602",275,"1,060",426.02,42602,"3,243",11,3,12,3,1,0
SAN FRANCISCO,"845,602",275,"1,060",427.00,42700,"5,326",19,5,19,5,0,0
SAN FRANCISCO,"845,602",275,"1,060",428.00,42800,"2,376",8,2,9,2,1,0
SAN FRANCISCO,"845,602",275,"1,060",451.00,45100,"4,996",18,4,18,5,0,1
SAN FRANCISCO,"845,602",275,"1,060",452.00,45200,"6,474",23,6,24,6,1,0
SAN FRANCISCO,"845,602",275,"1,060",476.00,47600,"5,137",18,4,19,5,1,1
SAN FRANCISCO,"845,602",275,"1,060",477.01,47701,"4,334",15,4,16,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",477.02,47702,"3,824",13,3,14,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",478.01,47801,"4,005",14,3,15,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",478.02,47802,"3,656",13,3,13,3,0,0
SAN FRANCISCO,"845,602",275,"1,060",479.01,47901,"6,400",23,6,23,6,0,0
SAN FRANCISCO,"845,602",275,"1,060",479.02,47902,"3,536",12,3,13,3,1,0
SAN FRANCISCO,"845,602",275,"1,060",601.00,60100,"3,235",11,3,12,3,1,0
SAN FRANCISCO,"845,602",275,"1,060",604.00,60400,"1,689",6,1,6,2,0,1
SAN FRANCISCO,"845,602",275,"1,060",605.02,60502,"3,216",11,3,12,3,1,0
SAN FRANCISCO,"845,602",275,"1,060",607.00,60700,"9,083",33,8,33,9,0,1
SAN FRANCISCO,"845,602",275,"1,060",610.00,61000,"3,610",13,3,13,3,0,0
SAN FRANCISCO,"845,602",275,"1,060",611.00,61100,"4,307",15,4,16,4,1,0
SAN FRANCISCO,"845,602",275,"1,060",612.00,61200,"4,089",14,3,15,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",614.00,61400,"5,395",19,5,20,5,1,0
SAN FRANCISCO,"845,602",275,"1,060",615.00,61500,"11,502",41,10,42,11,1,1
SAN FRANCISCO,"845,602",275,"1,060",9802.00,980200,320,1,0,1,0,0,0
SAN FRANCISCO,"845,602",275,"1,060",9803.00,980300,171,0,0,1,0,1,0
SAN FRANCISCO,"845,602",275,"1,060",9804.01,980401,0,0,0,0,0,0,0
SAN FRANCISCO,"845,602",275,"1,060",9805.01,980501,797,2,0,3,1,1,1
SAN FRANCISCO,"845,602",275,"1,060",9806.00,980600,467,1,0,2,0,1,0
SAN FRANCISCO,"845,602",275,"1,060",9809.00,980900,350,1,0,1,0,0,0
SAN FRANCISCO,"845,602",275,"1,060",9901.00,990100,0,0,0,0,0,0,0
All:,"845,602",300,"1,277",,,"805,235","2,821",662,"2,928",760,107,98
,,,,,,, , ,,,,
